1,1,4,1,0,0,0,0
1,1,10,3,1,0,0,0
1,1,10,3,1,0,0,0
0,1,3,3,0,0,0,0
1,0,11,2,0,0,1,0
1,1,8,3,0,0,0,0
0,1,3,3,0,0,0,0
0,1,5,3,0,0,0,0
1,1,5,3,0,0,0,0
0,0,2,1,0,0,0,0
1,0,9,2,0,0,1,0
1,1,10,3,1,0,0,0
1,1,7,3,0,0,0,0
1,1,11,2,1,0,0,0
0,1,4,1,0,0,0,0
0,1,3,3,0,0,0,0
0,0,1,1,0,0,0,0
1,1,8,3,0,0,0,0
0,1,5,3,0,0,0,0
0,0,5,2,0,0,0,0
1,0,26,19,0,0,1,0
0,1,1,1,0,0,0,0
1,1,8,3,0,0,0,0
1,1,11,2,1,0,0,0
1,1,12,1,1,0,0,0
0,1,4,3,0,0,0,0
1,0,4,2,0,0,0,0
0,1,5,3,0,0,0,0
0,0,1,1,0,0,0,0
0,1,5,3,0,0,0,0
1,1,10,3,1,0,0,0
1,0,4,2,0,0,0,0
0,0,2,1,0,0,0,0
0,1,4,3,0,0,0,0
1,0,2,2,0,0,0,0
0,0,1,1,0,0,0,0
1,1,15,1,1,0,0,0
1,1,6,2,0,0,0,0
0,1,3,3,0,0,0,0
1,1,10,3,1,0,0,0
0,1,1,1,0,0,0,0
0,1,3,3,0,0,0,0
1,1,6,2,0,0,0,0
1,0,5,2,0,0,0,0
1,0,2,2,0,0,0,0
0,1,3,3,0,0,0,0
0,1,1,1,0,0,0,0
0,1,4,3,0,0,0,0
1,1,7,3,0,0,0,0
0,0,4,3,0,0,0,0
1,1,24,3,1,0,0,0
0,1,1,1,0,0,0,0
0,0,4,3,0,0,0,0
1,0,5,2,0,0,0,0
0,1,5,3,0,0,0,0
0,1,1,1,0,0,0,0
0,1,8,1,0,0,0,0
0,1,3,3,0,0,0,0
1,1,15,1,1,0,0,0
0,1,1,1,0,0,0,0
0,0,3,3,0,0,0,0
1,1,11,2,1,0,0,0
1,1,9,2,1,0,0,0
1,1,9,2,1,0,0,0
0,1,1,1,0,0,0,0
1,1,12,1,1,0,0,0
0,1,3,3,0,0,0,0
1,1,8,3,0,0,0,0
0,1,2,1,0,0,0,0
0,1,3,3,0,0,0,0
1,1,10,3,1,0,0,0
0,1,5,3,0,0,0,0
0,1,2,1,0,0,0,0
0,0,4,3,0,0,0,0
0,1,3,1,0,0,0,0
0,1,3,3,0,0,0,0
1,1,8,3,0,0,0,0
1,1,8,3,0,0,0,0
0,0,3,3,0,0,0,0
0,1,2,1,0,0,0,0
1,1,15,3,1,0,0,0
0,1,3,3,0,0,0,0
1,1,7,3,0,0,0,0
0,1,6,2,0,0,0,0
1,1,8,3,0,0,0,0
1,1,9,2,1,0,0,0
1,1,15,3,1,0,0,0
0,1,2,2,0,0,0,0
1,1,3,1,0,0,0,0
0,1,3,3,0,0,0,0
0,1,4,3,0,0,0,0
0,0,3,3,0,0,0,0
0,1,4,1,0,0,0,0
1,1,21,3,1,0,0,0
1,1,9,2,1,0,0,0
1,1,6,2,0,0,0,0
1,1,28,2,1,0,0,0
0,1,4,3,0,0,0,0
1,1,13,3,1,0,0,0
1,1,8,3,0,0,0,0
0,1,7,1,0,0,0,0
1,1,9,2,1,0,0,0
1,1,8,3,0,0,0,0
0,0,3,3,0,0,0,0
1,0,11,2,0,0,1,0
1,0,15,1,0,0,1,0
0,1,8,2,0,0,0,0
0,0,1,1,0,0,0,0
1,1,12,2,1,0,0,0
1,1,8,3,0,0,0,0
1,1,9,2,1,0,0,0
1,1,8,3,0,0,0,0
1,0,11,2,0,0,1,0
0,1,5,3,0,0,0,0
1,1,9,2,1,0,0,0
0,1,3,3,0,0,0,0
1,1,8,3,0,0,0,0
0,1,1,1,0,0,0,0
1,1,9,2,1,0,0,0
0,1,1,1,0,0,0,0
1,1,8,3,0,0,0,0
1,1,9,2,1,0,0,0
1,1,12,2,1,0,0,0
1,0,15,1,0,0,1,0
1,0,5,3,0,0,0,0
0,0,5,3,0,0,0,0
1,1,8,3,0,0,0,0
1,1,10,3,1,0,0,0
0,1,3,3,0,0,0,0
0,1,3,3,0,0,0,0
0,1,4,3,0,0,0,0
1,0,8,3,0,0,0,0
1,1,13,1,1,0,0,0
1,1,8,3,0,0,0,0
1,0,17,16,0,0,1,0
1,1,19,3,1,0,0,0
1,0,6,2,0,0,0,0
1,1,6,2,0,0,0,0
1,1,15,1,1,0,0,0
1,0,6,2,0,0,0,0
1,0,7,2,0,0,0,0
0,1,4,3,0,0,0,0
1,1,5,3,0,0,0,0
0,1,8,2,0,0,0,0
1,0,4,6,0,0,0,0
0,0,3,3,0,0,0,0
1,1,11,2,1,0,0,0
1,1,15,3,1,0,0,0
0,1,1,1,0,0,0,0
1,1,10,3,1,0,0,0
0,1,3,1,0,0,0,0
1,1,11,2,1,0,0,0
0,0,5,3,0,0,0,0
1,1,11,2,1,0,0,0
0,1,3,3,0,0,0,0
1,1,5,1,0,0,0,0
1,1,12,2,1,0,0,0
0,1,4,3,0,0,0,0
0,1,3,3,0,0,0,0
1,1,6,2,0,0,0,0
1,0,7,2,0,0,0,0
0,1,3,1,0,0,0,0
0,1,1,1,0,0,0,0
0,0,3,3,0,0,0,0
1,0,8,2,0,0,0,0
0,1,1,1,0,0,0,0
1,1,26,3,1,0,0,0
0,1,9,1,0,0,0,1
1,1,6,2,0,0,0,0
0,1,9,2,0,0,0,1
1,0,9,2,0,0,1,0
0,0,2,1,0,0,0,0
1,1,6,2,0,0,0,0
1,0,6,2,0,0,0,0
1,1,10,3,1,0,0,0
1,0,7,2,0,0,0,0
0,1,5,3,0,0,0,0
1,1,5,3,0,0,0,0
1,0,2,2,0,0,0,0
0,1,1,1,0,0,0,0
1,1,15,1,1,0,0,0
0,1,3,3,0,0,0,0
0,1,1,1,0,0,0,0
0,0,6,1,0,0,0,0
0,1,6,2,0,0,0,0
0,1,2,1,0,0,0,0
1,1,9,2,1,0,0,0
0,1,4,1,0,0,0,0
0,1,4,3,0,0,0,0
1,1,6,2,0,0,0,0
0,0,3,3,0,0,0,0
1,1,15,1,1,0,0,0
0,1,3,3,0,0,0,0
1,1,13,3,1,0,0,0
1,1,10,3,1,0,0,0
1,1,6,2,0,0,0,0
1,1,6,2,0,0,0,0
1,1,9,2,1,0,0,0
1,0,15,1,0,0,1,0
1,0,1,2,0,0,0,0
0,1,3,2,0,0,0,0
0,1,3,3,0,0,0,0
0,0,4,3,0,0,0,0
0,1,5,2,0,0,0,0
1,1,6,2,0,0,0,0
1,0,9,2,0,0,1,0
1,1,4,1,0,0,0,0
1,1,11,1,1,0,0,0
1,1,10,3,1,0,0,0
1,1,14,2,1,0,0,0
0,1,1,1,0,0,0,0
1,1,6,2,0,0,0,0
1,1,5,3,0,0,0,0
1,0,6,2,0,0,0,0
0,0,4,3,0,0,0,0
1,1,7,3,0,0,0,0
1,1,4,1,0,0,0,0
1,1,9,2,1,0,0,0
1,1,10,3,1,0,0,0
0,1,4,3,0,0,0,0
1,0,16,16,0,0,1,0
1,1,3,1,0,0,0,0
0,1,2,1,0,0,0,0
0,1,6,1,0,0,0,0
0,1,4,3,0,0,0,0
1,1,5,3,0,0,0,0
0,1,5,3,0,0,0,0
0,1,3,3,0,0,0,0
1,0,8,2,0,0,0,0
1,1,5,3,0,0,0,0
1,1,9,2,1,0,0,0
1,0,6,2,0,0,0,0
1,1,9,2,1,0,0,0
0,1,5,3,0,0,0,0
0,1,3,3,0,0,0,0
0,1,5,3,0,0,0,0
1,0,4,1,0,0,0,0
0,1,3,3,0,0,0,0
0,1,2,1,0,0,0,0
0,1,4,3,0,0,0,0
0,1,4,3,0,0,0,0
1,1,9,2,1,0,0,0
0,1,5,3,0,0,0,0
1,1,11,2,1,0,0,0
0,0,4,3,0,0,0,0
0,0,3,3,0,0,0,0
0,1,1,1,0,0,0,0
1,1,8,3,0,0,0,0
1,0,5,3,0,0,0,0
1,1,5,3,0,0,0,0
1,0,5,3,0,0,0,0
1,1,23,3,1,0,0,0
1,0,3,1,0,0,0,0
0,1,3,3,0,0,0,0
0,0,4,3,0,0,0,0
1,1,7,3,0,0,0,0
1,1,10,3,1,0,0,0
1,0,12,2,0,0,1,0
0,0,5,3,0,0,0,0
1,1,15,1,1,0,0,0
0,1,7,2,0,0,0,0
0,1,3,3,0,0,0,0
0,1,3,2,0,0,0,0
1,1,13,3,1,0,0,0
1,1,10,3,1,0,0,0
1,1,10,3,1,0,0,0
1,1,8,3,0,0,0,0
1,0,18,1,0,0,1,0
1,1,9,2,1,0,0,0
0,1,3,3,0,0,0,0
0,0,1,1,0,0,0,0
1,1,13,3,1,0,0,0
0,1,3,3,0,0,0,0
0,0,2,1,0,0,0,0
0,0,4,3,0,0,0,0
0,1,3,3,0,0,0,0
1,1,9,2,1,0,0,0
0,1,3,3,0,0,0,0
1,1,10,3,1,0,0,0
0,1,5,3,0,0,0,0
1,1,25,2,1,0,0,0
0,1,3,3,0,0,0,0
0,1,3,3,0,0,0,0
1,1,10,3,1,0,0,0
1,1,11,1,1,0,0,0
0,0,11,2,0,0,0,0
1,1,6,2,0,0,0,0
1,1,11,2,1,0,0,0
1,1,13,3,1,0,0,0
0,0,4,3,0,0,0,0
1,1,8,3,0,0,0,0
0,1,3,3,0,0,0,0
1,1,9,2,1,0,0,0
1,1,8,3,0,0,0,0
0,1,1,1,0,0,0,0
0,1,5,3,0,0,0,0
1,1,7,3,0,0,0,0
1,1,6,2,0,0,0,0
0,0,4,3,0,0,0,0
0,1,5,3,0,0,0,0
1,1,10,3,1,0,0,0
0,1,11,2,0,0,0,1
1,0,8,3,0,0,0,0
1,0,7,2,0,0,0,0
1,1,8,3,0,0,0,0
0,1,6,2,0,0,0,0
0,1,3,3,0,0,0,0
0,1,3,3,0,0,0,0
0,1,5,3,0,0,0,0
0,1,3,3,0,0,0,0
0,1,5,1,0,0,0,0
1,0,3,2,0,0,0,0
1,0,17,1,0,0,1,0
1,1,9,2,1,0,0,0
0,1,5,3,0,0,0,0
0,1,5,3,0,0,0,0
0,1,1,1,0,0,0,0
1,1,12,2,1,0,0,0
1,0,5,2,0,0,0,0
1,1,6,2,0,0,0,0
0,1,3,3,0,0,0,0
0,1,3,3,0,0,0,0
1,1,14,3,1,0,0,0
1,1,6,2,0,0,0,0
0,1,4,3,0,0,0,0
0,1,3,3,0,0,0,0
0,1,3,3,0,0,0,0
0,1,3,3,0,0,0,0
0,0,5,3,0,0,0,0
0,1,3,3,0,0,0,0
0,1,4,2,0,0,0,0
0,1,13,2,0,0,0,1
0,1,6,1,0,0,0,0
1,1,8,3,0,0,0,0
0,1,5,3,0,0,0,0
1,1,7,3,0,0,0,0
0,1,4,3,0,0,0,0
0,1,6,1,0,0,0,0
0,1,3,3,0,0,0,0
1,1,11,2,1,0,0,0
1,1,5,1,0,0,0,0
1,1,10,3,1,0,0,0
1,1,7,3,0,0,0,0
0,0,15,1,0,0,0,0
0,1,4,3,0,0,0,0
1,0,1,8,0,0,0,0
1,1,5,1,0,0,0,0
0,1,8,2,0,0,0,0
0,1,1,1,0,0,0,0
1,0,11,2,0,0,1,0
1,1,5,3,0,0,0,0
0,1,3,3,0,0,0,0
1,0,6,2,0,0,0,0
1,1,8,3,0,0,0,0
0,1,4,3,0,0,0,0
0,0,2,2,0,0,0,0
1,0,9,2,0,0,1,0
0,1,5,2,0,0,0,0
0,1,4,1,0,0,0,0
1,1,22,2,1,0,0,0
1,0,12,2,0,0,1,0
0,1,4,3,0,0,0,0
0,1,1,1,0,0,0,0
1,1,11,2,1,0,0,0
0,1,6,2,0,0,0,0
0,0,3,3,0,0,0,0
1,1,5,3,0,0,0,0
1,1,9,2,1,0,0,0
0,1,1,1,0,0,0,0
1,0,16,16,0,0,1,0
0,0,3,3,0,0,0,0
1,1,8,3,0,0,0,0
0,1,6,2,0,0,0,0
1,1,14,2,1,0,0,0
1,1,9,2,1,0,0,0
